"key","en","id"
"quit","Quit","Keluar"
"clear_recent_sizes","Clear Recent Sizes","Hapus Ukuran Terkini"
"language","Language","Bahasa"
"theme","Theme","Tema"
"system_default","System Default","Standar Sistem"
"dark","Dark","Gelap"
"light","Light","Terang"
"preferences","Preferences","Preferensi"
"toggle_expand","Toggle Expand","Alihkan Perkembangan"
"toggle_background","Toggle Background","Alihkan Latar Belakang"
"toggle_border","Toggle Border","Alihkan Perbatasan"
"reset","Reset","Atur Ulang"
"minimize","Minimize","Perkecil"
"zoom","Zoom","Perbesar"
"check_for_update","Check for Update","Cek Pembaruan"
"view_on_github","View on GitHub","Lihat di GitHub"
"open_source_licenses","Open-source Licenses","Lisensi Sumber Terbuka"
"about","About","Tentang"
"_boxes_cleared","Boxes cleared.","Konten terhapus."
"_update_available","Plano version %s is available.","Plano versi %s tersedia."
"_update_unavailable","You already have the latest version.","Tidak ada pembaruan."
"_desc","Calculate how many trim boxes fit in a media box.","Hitung berapa banyak kotak potong dalam kotak media."
"media_size","Media Size","Ukuran Media"
"_media_size","Source paper size, a direct parent of trim size.","Sumber ukuran kertas, induk langsung dari ukuran potong."
"trim_size","Trim Size","Ukuran Potong"
"_trim_size","Target size of which the paper will be trimmed into.","Ukuran target kertas yang akan dipotong."
"gap","Gap","Jarak"
"_gap","Gap is a distance between each papers.","Jarak antar kertas."
"allow_flip","Allow Flip","Izinkan Putar"
"allow_flip_right","Allow Flip Right","Izinkan Putar Kanan"
"allow_flip_bottom","Allow Flip Bottom","Izinkan Putar Bawah"
"_allow_flip","When activated, trim boxes may be flipped in order to achieve highest number of trim boxes available.","Ketika dinyalakan, kotak potong bisa dimiringkan untuk mencapai jumlah kotak potong tertinggi."
"right","Right","Kanan"
"bottom","Bottom","Bawah"
"calculate","Calculate","Kalkulasi"
"more","More","Lain-lain"
"info","Info","Jelaskan"
"a_series","A Series","Seri A"
"b_series","B Series","Seri B"
"c_series","C Series","Seri C"
"f_series","F Series","Seri F"
"others","Others","Lain-lain"
"rotate","Rotate","Putar"
"close","Close","Tutup"
"close_all","Close All","Tutup Semua"
"save_image","Save Image","Simpan Gambar"
"_save_image","Image saved as %s.","Gambar tersimpan sebagai %s."
"_no_content","No content.","Tidak ada konten."
"_about","Plano is an efficient paper size calculator app. See GitHub for more information.","Plano adalah aplikasi kalkulator ukuran kertas efisien. Lihat GitHub untuk informasi lebih."
"please_restart","Please Restart","Mohon Mulai Ulang"
"_please_restart","Restart app to see effect.","Mulai ulang aplikasi untuk melihat perubahan."
"view_sizes","View Sizes","Lihat Ukuran"
"sizes","Sizes","Ukuran"
"main_width","Main Width","Lebar Utama"
"main_height","Main Height","Tinggi Utama"
"remaining_width","Remaining Width","Sisa Lebar"
"remaining_height","Remaining Height","Sisa Tinggi"
"btn_undo","UNDO","KEMBALIKAN"
"btn_download","DOWNLOAD","UNDUH"
"btn_close","CLOSE","TUTUP"
